Year,Country of Origin Code,Country of Origin Name,Country of Asylum Code,Country of Asylum Name,Displaced From,Displaced Stateless Within,Displaced Stateless From,Asylum seekers Incoming,Asylum seekers Outgoing,Number of Applications Incoming,Number of Applications Outgoing,Host community Incoming,Host community Outgoing,Internally displaced persons Incoming,Internally displaced persons Outgoing,Other people in need of international protection Incoming,Other people in need of international protection Outgoing,Others of concern to UNHCR Incoming,Others of concern to UNHCR Outgoing,Refugees Incoming,Refugees Outgoing,Stateless Persons Incoming,Stateless Persons Outgoing
2021,MMR,Myanmar,NZL,New Zealand,29,29,29,17,17,17,17,0,0,0,0,0,0,0,0,12,12,0,0
2021,MMR,Myanmar,PAK,Pakistan,54,54,54,31,31,,,0,0,0,0,0,0,0,0,23,23,0,0
2021,MMR,Myanmar,PHL,Philippines,10,10,10,0,0,,,0,0,0,0,0,0,0,0,10,10,0,0
2021,MMR,Myanmar,PNG,Papua New Guinea,5,5,5,0,0,,,0,0,0,0,0,0,0,0,5,5,0,0
2021,MMR,Myanmar,ROU,Romania,30,30,30,0,0,5,5,0,0,0,0,0,0,0,0,30,30,0,0
2021,MMR,Myanmar,SAU,Saudi Arabia,115,115,115,115,115,,,0,0,0,0,0,0,0,0,0,0,0,0
2021,MMR,Myanmar,ESP,Spain,13,13,13,5,5,5,5,0,0,0,0,0,0,0,0,8,8,0,0
2021,MMR,Myanmar,SWE,Sweden,11,11,11,5,5,7,7,0,0,0,0,0,0,0,0,6,6,0,0
2021,MMR,Myanmar,CHE,Switzerland,46,46,46,5,5,17,17,0,0,0,0,0,0,0,0,41,41,0,0
2021,MMR,Myanmar,THA,Thailand,96086,96086,96086,0,0,5,5,0,0,0,0,0,0,198,198,96086,96086,0,0
2021,MMR,Myanmar,UKR,Ukraine,6,6,6,6,6,,,0,0,0,0,0,0,0,0,0,0,0,0
2021,MMR,Myanmar,USA,United States of America,4319,4319,4319,3096,3096,624,624,0,0,0,0,0,0,0,0,1223,1223,0,0
2021,STA,Stateless,MMR,Myanmar,0,600000,600000,0,0,,,0,0,0,0,0,0,0,0,0,0,600000,600000
2022,MMR,Myanmar,ARM,Armenia,5,5,5,0,0,,,0,0,0,0,0,0,0,0,5,5,0,0
2022,MMR,Myanmar,AUS,Australia,1724,1724,1724,1098,1098,549,549,0,0,0,0,0,0,0,0,626,626,0,0
2022,MMR,Myanmar,AUT,Austria,49,49,49,12,12,13,13,0,0,0,0,0,0,0,0,37,37,0,0
2022,MMR,Myanmar,BEL,Belgium,7,7,7,0,0,5,5,0,0,0,0,0,0,0,0,7,7,0,0
2022,MMR,Myanmar,BGD,Bangladesh,952370,952370,952370,5,5,5,5,0,0,0,0,0,0,0,0,952365,952365,0,0
2022,MMR,Myanmar,BRA,Brazil,10,10,10,5,5,,,0,0,0,0,0,0,0,0,5,5,0,0
2022,MMR,Myanmar,KHM,Cambodia,15,15,15,7,7,,,0,0,0,0,0,0,0,0,8,8,0,0
2022,MMR,Myanmar,CAN,Canada,95,95,95,38,38,50,50,0,0,0,0,0,0,0,0,57,57,0,0
2022,MMR,Myanmar,CZE,Czechia,166,166,166,0,0,19,19,0,0,0,0,0,0,0,0,166,166,0,0
2022,MMR,Myanmar,DNK,Denmark,26,26,26,13,13,8,8,0,0,0,0,0,0,0,0,13,13,0,0
2022,MMR,Myanmar,FIN,Finland,40,40,40,9,9,7,7,0,0,0,0,0,0,0,0,31,31,0,0
2022,MMR,Myanmar,FRA,France,412,412,412,34,34,5,5,0,0,0,0,0,0,0,0,378,378,0,0
2022,MMR,Myanmar,GBR,United Kingdom of Great Britain and Northern Ireland,529,529,529,210,210,134,134,0,0,0,0,0,0,0,0,319,319,0,0
2022,MMR,Myanmar,GEO,Georgia,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0
2022,MMR,Myanmar,DEU,Germany,1155,1155,1155,395,395,13,13,0,0,0,0,0,0,0,0,760,760,0,0
2022,MMR,Myanmar,GRC,Greece,113,113,113,5,5,7,7,0,0,0,0,0,0,0,0,108,108,0,0
2022,MMR,Myanmar,IND,India,74607,74607,74607,7125,7125,5720,5720,0,0,0,0,0,0,0,0,67482,67482,0,0
2022,MMR,Myanmar,IDN,Indonesia,910,910,910,457,457,,,0,0,0,0,0,0,0,0,453,453,0,0
2022,MMR,Myanmar,IRL,Ireland,23,23,23,9,9,9,9,0,0,0,0,0,0,0,0,14,14,0,0
2022,MMR,Myanmar,IRN,Iran (Islamic Republic of),34,34,34,34,34,,,0,0,0,0,0,0,0,0,0,0,0,0
2022,MMR,Myanmar,ISR,Israel,217,217,217,217,217,114,114,0,0,0,0,0,0,0,0,0,0,0,0
2022,MMR,Myanmar,ITA,Italy,25,25,25,11,11,11,11,0,0,0,0,0,0,0,0,14,14,0,0
2022,MMR,Myanmar,JPN,Japan,11764,11764,11764,0,0,298,298,0,0,0,0,0,0,0,0,11764,11764,0,0
2022,MMR,Myanmar,KOR,Republic of Korea,862,862,862,385,385,390,390,0,0,0,0,0,0,0,0,477,477,0,0
2022,MMR,Myanmar,LKA,Sri Lanka,36,36,36,0,0,,,0,0,0,0,0,0,0,0,36,36,0,0
2022,MMR,Myanmar,LUX,Luxembourg,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2022,MMR,Myanmar,MYS,Malaysia,158165,158165,158165,34602,34602,4908,4908,0,0,0,0,0,0,0,0,123563,123563,0,0
2022,MMR,Myanmar,MMR,Myanmar,0,1504848,1504848,0,0,,,0,0,1504848,1504848,0,0,0,0,0,0,0,0
2022,MMR,Myanmar,NPL,Nepal,465,465,465,91,91,,,0,0,0,0,0,0,0,0,374,374,0,0
2022,MMR,Myanmar,NLD,Netherlands (Kingdom of the),485,485,485,55,55,14,14,0,0,0,0,0,0,0,0,430,430,0,0
2022,MMR,Myanmar,NOR,Norway,31,31,31,8,8,12,12,0,0,0,0,0,0,0,0,23,23,0,0
2022,MMR,Myanmar,NRU,Nauru,5,5,5,0,0,,,0,0,0,0,0,0,0,0,5,5,0,0
2022,MMR,Myanmar,NZL,New Zealand,36,36,36,17,17,12,12,0,0,0,0,0,0,0,0,19,19,0,0
2022,MMR,Myanmar,PAK,Pakistan,55,55,55,31,31,,,0,0,0,0,0,0,0,0,24,24,0,0
2022,MMR,Myanmar,PHL,Philippines,15,15,15,5,5,5,5,0,0,0,0,0,0,0,0,10,10,0,0
2022,MMR,Myanmar,PRT,Portugal,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2022,MMR,Myanmar,ROU,Romania,31,31,31,0,0,,,0,0,0,0,0,0,0,0,31,31,0,0
2022,MMR,Myanmar,ESP,Spain,15,15,15,0,0,,,0,0,0,0,0,0,0,0,15,15,0,0
2022,MMR,Myanmar,SWE,Sweden,18,18,18,9,9,11,11,0,0,0,0,0,0,0,0,9,9,0,0
2022,MMR,Myanmar,CHE,Switzerland,66,66,66,17,17,5,5,0,0,0,0,0,0,0,0,49,49,0,0
2022,MMR,Myanmar,THA,Thailand,90619,90619,90619,0,0,32,32,0,0,0,0,0,0,321,321,90619,90619,0,0
2022,MMR,Myanmar,USA,United States of America,5095,5095,5095,3773,3773,904,904,0,0,0,0,0,0,0,0,1322,1322,0,0
2022,STA,Stateless,MMR,Myanmar,0,630000,630000,0,0,,,0,0,0,0,0,0,0,0,0,0,630000,630000
2023,MMR,Myanmar,ARM,Armenia,9,9,9,0,0,5,5,0,0,0,0,0,0,0,0,9,9,0,0
2023,MMR,Myanmar,AUS,Australia,1923,1923,1923,613,613,703,703,0,0,0,0,0,0,0,0,1310,1310,0,0
2023,MMR,Myanmar,AUT,Austria,36,36,36,11,11,9,9,0,0,0,0,0,0,0,0,25,25,0,0
2023,MMR,Myanmar,BEL,Belgium,9,9,9,0,0,5,5,0,0,0,0,0,0,0,0,9,9,0,0
2023,MMR,Myanmar,BGD,Bangladesh,971964,971964,971964,0,0,,,0,0,0,0,0,0,0,0,971964,971964,0,0
2023,MMR,Myanmar,BRA,Brazil,5,5,5,0,0,,,0,0,0,0,0,0,0,0,5,5,0,0
2023,MMR,Myanmar,KHM,Cambodia,13,13,13,5,5,,,0,0,0,0,0,0,0,0,8,8,0,0
2023,MMR,Myanmar,CAN,Canada,159,159,159,61,61,85,85,0,0,0,0,0,0,0,0,98,98,0,0
2023,MMR,Myanmar,CZE,Czechia,198,198,198,0,0,26,26,0,0,0,0,0,0,0,0,198,198,0,0
2023,MMR,Myanmar,DNK,Denmark,41,41,41,29,29,15,15,0,0,0,0,0,0,0,0,12,12,0,0
2023,MMR,Myanmar,FIN,Finland,54,54,54,17,17,14,14,0,0,0,0,0,0,0,0,37,37,0,0
2023,MMR,Myanmar,FRA,France,441,441,441,36,36,7,7,0,0,0,0,0,0,0,0,405,405,0,0
2023,MMR,Myanmar,GBR,United Kingdom of Great Britain and Northern Ireland,666,666,666,266,266,138,138,0,0,0,0,0,0,0,0,400,400,0,0
2023,MMR,Myanmar,DEU,Germany,1545,1545,1545,465,465,16,16,0,0,0,0,0,0,0,0,1080,1080,0,0
2023,MMR,Myanmar,GRC,Greece,134,134,134,8,8,10,10,0,0,0,0,0,0,0,0,126,126,0,0
2023,MMR,Myanmar,HUN,Hungary,5,5,5,0,0,,,0,0,0,0,0,0,0,0,5,5,0,0
2023,MMR,Myanmar,IND,India,83756,83756,83756,7243,7243,2302,2302,0,0,0,0,0,0,0,0,76513,76513,0,0
2023,MMR,Myanmar,IDN,Indonesia,2063,2063,2063,1701,1701,5,5,0,0,0,0,0,0,0,0,362,362,0,0
2023,MMR,Myanmar,IRL,Ireland,27,27,27,9,9,6,6,0,0,0,0,0,0,0,0,18,18,0,0
2023,MMR,Myanmar,ISR,Israel,238,238,238,238,238,28,28,0,0,0,0,0,0,0,0,0,0,0,0
2023,MMR,Myanmar,ITA,Italy,77,77,77,20,20,15,15,0,0,0,0,0,0,0,0,57,57,0,0
2023,MMR,Myanmar,JPN,Japan,18263,18263,18263,0,0,324,324,0,0,0,0,0,0,0,0,18263,18263,0,0
2023,MMR,Myanmar,KOR,Republic of Korea,984,984,984,479,479,192,192,0,0,0,0,0,0,0,0,505,505,0,0
2023,MMR,Myanmar,LKA,Sri Lanka,111,111,111,0,0,,,0,0,0,0,0,0,0,0,111,111,0,0
2023,MMR,Myanmar,LUX,Luxembourg,5,5,5,0,0,,,0,0,0,0,0,0,0,0,5,5,0,0
2023,MMR,Myanmar,MYS,Malaysia,162443,162443,162443,36745,36745,7183,7183,0,0,0,0,0,0,0,0,125698,125698,0,0
2023,MMR,Myanmar,MMR,Myanmar,0,2607645,2607645,0,0,,,0,0,2607645,2607645,0,0,0,0,0,0,0,0
2023,MMR,Myanmar,NPL,Nepal,502,502,502,91,91,,,0,0,0,0,0,0,0,0,411,411,0,0
2023,MMR,Myanmar,NLD,Netherlands (Kingdom of the),473,473,473,63,63,50,50,0,0,0,0,0,0,0,0,410,410,0,0
2023,MMR,Myanmar,NOR,Norway,36,36,36,15,15,9,9,0,0,0,0,0,0,0,0,21,21,0,0
2023,MMR,Myanmar,NZL,New Zealand,53,53,53,24,24,18,18,0,0,0,0,0,0,0,0,29,29,0,0
2023,MMR,Myanmar,PAK,Pakistan,59,59,59,32,32,,,0,0,0,0,0,0,0,0,27,27,0,0
2023,MMR,Myanmar,PHL,Philippines,30,30,30,21,21,16,16,0,0,0,0,0,0,0,0,9,9,0,0
2023,MMR,Myanmar,PRT,Portugal,5,5,5,5,5,,,0,0,0,0,0,0,0,0,0,0,0,0
2023,MMR,Myanmar,ROU,Romania,24,24,24,0,0,,,0,0,0,0,0,0,0,0,24,24,0,0
2023,MMR,Myanmar,ESP,Spain,13,13,13,0,0,,,0,0,0,0,0,0,0,0,13,13,0,0
2023,MMR,Myanmar,SWE,Sweden,22,22,22,0,0,10,10,0,0,0,0,0,0,0,0,22,22,0,0
2023,MMR,Myanmar,CHE,Switzerland,85,85,85,20,20,32,32,0,0,0,0,0,0,0,0,65,65,0,0
2023,MMR,Myanmar,THA,Thailand,83821,83821,83821,0,0,47,47,0,0,0,0,0,0,584,584,83821,83821,0,0
2023,MMR,Myanmar,USA,United States of America,7770,7770,7770,6419,6419,2734,2734,0,0,0,0,0,0,0,0,1351,1351,0,0
2023,STA,Stateless,MMR,Myanmar,0,632789,632789,0,0,,,0,0,0,0,0,0,0,0,0,0,632789,632789
2024,MMR,Myanmar,EGY,Egypt,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2024,MMR,Myanmar,ARM,Armenia,9,9,9,0,0,,,0,0,0,0,0,0,0,0,9,9,0,0
2024,MMR,Myanmar,AUS,Australia,2408,2408,2408,648,648,,,0,0,0,0,0,0,0,0,1760,1760,0,0
2024,MMR,Myanmar,AUT,Austria,38,38,38,12,12,9,9,0,0,0,0,0,0,0,0,26,26,0,0
2024,MMR,Myanmar,BEL,Belgium,19,19,19,8,8,8,8,0,0,0,0,0,0,0,0,11,11,0,0
2024,MMR,Myanmar,BGD,Bangladesh,1005596,1005596,1005596,35,35,36,36,0,0,0,0,0,0,0,0,1005561,1005561,0,0
2024,MMR,Myanmar,BRA,Brazil,5,5,5,0,0,,,0,0,0,0,0,0,0,0,5,5,0,0
2024,MMR,Myanmar,KHM,Cambodia,13,13,13,5,5,,,0,0,0,0,0,0,0,0,8,8,0,0
2024,MMR,Myanmar,CAN,Canada,417,417,417,294,294,170,170,0,0,0,0,0,0,0,0,123,123,0,0
2024,MMR,Myanmar,CZE,Czechia,228,228,228,9,9,29,29,0,0,0,0,0,0,0,0,219,219,0,0
2024,MMR,Myanmar,DNK,Denmark,1210,1210,1210,32,32,12,12,0,0,0,0,0,0,0,0,1178,1178,0,0
2024,MMR,Myanmar,FIN,Finland,65,65,65,20,20,16,16,0,0,0,0,0,0,0,0,45,45,0,0
2024,MMR,Myanmar,FRA,France,522,522,522,48,48,7,7,0,0,0,0,0,0,0,0,474,474,0,0
2024,MMR,Myanmar,GBR,United Kingdom of Great Britain and Northern Ireland,1042,1042,1042,537,537,458,458,0,0,0,0,0,0,0,0,505,505,0,0
2024,MMR,Myanmar,DEU,Germany,1676,1676,1676,371,371,10,10,0,0,0,0,0,0,0,0,1305,1305,0,0
2024,MMR,Myanmar,GRC,Greece,31,31,31,5,5,,,0,0,0,0,0,0,0,0,26,26,0,0
2024,MMR,Myanmar,HUN,Hungary,5,5,5,0,0,,,0,0,0,0,0,0,0,0,5,5,0,0
2024,MMR,Myanmar,IND,India,81682,81682,81682,8856,8856,1992,1992,0,0,0,0,0,0,0,0,72826,72826,0,0
2024,MMR,Myanmar,IDN,Indonesia,2679,2679,2679,1862,1862,38,38,0,0,0,0,0,0,0,0,817,817,0,0
2024,MMR,Myanmar,IRL,Ireland,50,50,50,29,29,29,29,0,0,0,0,0,0,0,0,21,21,0,0
2024,MMR,Myanmar,ISR,Israel,238,238,238,238,238,,,0,0,0,0,0,0,0,0,0,0,0,0
2024,MMR,Myanmar,ITA,Italy,80,80,80,27,27,14,14,0,0,0,0,0,0,0,0,53,53,0,0
2024,MMR,Myanmar,JPN,Japan,24761,24761,24761,0,0,627,627,0,0,0,0,0,0,0,0,24761,24761,0,0
2024,MMR,Myanmar,KOR,Republic of Korea,1194,1194,1194,665,665,273,273,0,0,0,0,0,0,0,0,529,529,0,0
2024,MMR,Myanmar,LKA,Sri Lanka,229,229,229,117,117,117,117,0,0,0,0,0,0,0,0,112,112,0,0
2024,MMR,Myanmar,LUX,Luxembourg,5,5,5,0,0,,,0,0,0,0,0,0,0,0,5,5,0,0
2024,MMR,Myanmar,MYS,Malaysia,170534,170534,170534,42169,42169,8614,8614,0,0,0,0,0,0,0,0,128365,128365,0,0
2024,MMR,Myanmar,MMR,Myanmar,0,3513867,3513867,0,0,,,0,0,3513867,3513867,0,0,0,0,0,0,0,0
2024,MMR,Myanmar,NPL,Nepal,493,493,493,66,66,,,0,0,0,0,0,0,0,0,427,427,0,0
2024,MMR,Myanmar,NLD,Netherlands (Kingdom of the),483,483,483,92,92,60,60,0,0,0,0,0,0,0,0,391,391,0,0
2024,MMR,Myanmar,NOR,Norway,167,167,167,14,14,6,6,0,0,0,0,0,0,0,0,153,153,0,0
2024,MMR,Myanmar,NZL,New Zealand,96,96,96,38,38,34,34,0,0,0,0,0,0,0,0,58,58,0,0
2024,MMR,Myanmar,PAK,Pakistan,60,60,60,32,32,,,0,0,0,0,0,0,0,0,28,28,0,0
2024,MMR,Myanmar,PHL,Philippines,52,52,52,37,37,22,22,0,0,0,0,0,0,0,0,15,15,0,0
2024,MMR,Myanmar,PRT,Portugal,5,5,5,5,5,,,0,0,0,0,0,0,0,0,0,0,0,0
2024,MMR,Myanmar,ROU,Romania,20,20,20,0,0,,,0,0,0,0,0,0,0,0,20,20,0,0
2024,MMR,Myanmar,ESP,Spain,19,19,19,5,5,5,5,0,0,0,0,0,0,0,0,14,14,0,0
2024,MMR,Myanmar,SWE,Sweden,213,213,213,6,6,7,7,0,0,0,0,0,0,0,0,207,207,0,0
2024,MMR,Myanmar,CHE,Switzerland,106,106,106,33,33,48,48,0,0,0,0,0,0,0,0,73,73,0,0
2024,MMR,Myanmar,THA,Thailand,81005,81005,81005,0,0,,,0,0,0,0,0,0,513,513,81005,81005,0,0
2024,MMR,Myanmar,USA,United States of America,10989,10989,10989,9626,9626,2585,2585,0,0,0,0,0,0,0,0,1363,1363,0,0
2024,STA,Stateless,MMR,Myanmar,0,619429,619429,0,0,,,0,0,0,0,0,0,0,0,0,0,619429,619429
2015,MMR,Myanmar,IRN,Iran (Islamic Republic of),0,0,0,,,5,5,,,,,,,,,,,,
2015,MMR,Myanmar,MKD,North Macedonia,0,0,0,,,5,5,,,,,,,,,,,,
2018,MMR,Myanmar,ALB,Albania,0,0,0,,,8,8,,,,,,,,,,,,
2018,MMR,Myanmar,SVN,Slovenia,0,0,0,,,5,5,,,,,,,,,,,,
2019,MMR,Myanmar,SVK,Slovakia,0,0,0,,,5,5,,,,,,,,,,,,
2019,MMR,Myanmar,SVN,Slovenia,0,0,0,,,5,5,,,,,,,,,,,,
2022,MMR,Myanmar,PNG,Papua New Guinea,0,0,0,,,5,5,,,,,,,,,,,,
2023,MMR,Myanmar,CYP,Cyprus,0,0,0,,,5,5,,,,,,,,,,,,
2023,MMR,Myanmar,GEO,Georgia,0,0,0,,,10,10,,,,,,,,,,,,
2024,MMR,Myanmar,GEO,Georgia,0,0,0,,,5,5,,,,,,,,,,,,
2024,MMR,Myanmar,SLB,Solomon Islands,0,0,0,,,5,5,,,,,,,,,,,,
2016,MMR,Myanmar,ZAF,South Africa,0,0,0,,,,,,,,,,,,,,,,
2019,MMR,Myanmar,BGR,Bulgaria,0,0,0,,,,,,,,,,,,,,,,
2019,MMR,Myanmar,ISL,Iceland,0,0,0,,,,,,,,,,,,,,,,
2022,MMR,Myanmar,SAU,Saudi Arabia,0,0,0,,,,,,,,,,,,,,,,
2022,MMR,Myanmar,UKR,Ukraine,0,0,0,,,,,,,,,,,,,,,,
2023,MMR,Myanmar,IRN,Iran (Islamic Republic of),0,0,0,,,,,,,,,,,,,,,,
2020,MMR,Myanmar,CAN,Canada,0,0,0,,,,,,,,,,,,,,,,
