Entity,Year,share of global production|Rare earths|Mine|tonnes
Australia,2020,8.75
Australia,2021,8.275862
Australia,2022,6
Australia,2023,5.142857
Brazil,2020,0.25
Brazil,2021,0.1724138
Brazil,2022,0.026666667
Brazil,2023,0.022857143
Burundi,2020,0.125
Burundi,2021,0.06896552
Burundi,2022,0
Canada,2020,0
Canada,2021,0
Canada,2022,0
Canada,2023,0
China,2020,58.333332
China,2021,57.931034
China,2022,70
China,2023,68.57143
Greenland,2020,0
Greenland,2021,0
Greenland,2022,0
Greenland,2023,0
India,2020,1.2083334
India,2021,1
India,2022,0.96666664
India,2023,0.82857144
Madagascar,2020,1.1666666
Madagascar,2021,2.3448277
Madagascar,2022,0.32
Madagascar,2023,0.2742857
Malaysia,2022,0.026666667
Malaysia,2023,0.022857143
Myanmar,2020,12.916667
Myanmar,2021,12.068966
Myanmar,2022,4
Myanmar,2023,10.857142
Other,2020,0.041666668
Other,2021,0.020689655
Other,2022,0.026666667
Russia,2020,1.125
Russia,2021,0.8965517
Russia,2022,0.8666667
Russia,2023,0.74285716
South Africa,2020,0
South Africa,2021,0
South Africa,2022,0
South Africa,2023,0
Tanzania,2020,0
Tanzania,2021,0
Tanzania,2022,0
Tanzania,2023,0
Thailand,2020,1.5
Thailand,2021,2.8275862
Thailand,2022,2.3666666
Thailand,2023,2.0285714
United States,1900,21.826923
United States,1901,17.155964
United States,1902,23.17497
United States,1903,10.591133
United States,1904,6.5034966
United States,1905,12.05036
United States,1906,8.115385
United States,1907,5.3100777
United States,1908,3.6971831
United States,1909,3.6585367
United States,1910,0.8278146
United States,1915,1.0344827
United States,1916,1.2311902
United States,1917,1.4450867
United States,1925,4.1583333
United States,1948,0.7352941
United States,1950,81.489365
United States,1951,60.241936
United States,1952,60.98901
United States,1953,15.530303
United States,1954,12.538265
United States,1955,10.555555
United States,1957,8.344481
United States,1958,7.7543426
United States,1959,21.352314
United States,1960,46.25551
United States,1961,27.913279
United States,1963,4.5874586
United States,1964,6.9565215
United States,1965,41.666668
United States,1966,75.30864
United States,1967,76.33136
United States,1968,63.580246
United States,1969,69.060776
United States,1970,57.295597
United States,1971,59.878048
United States,1972,58.79121
United States,1973,72.916664
United States,1974,77.734375
United States,1975,67.87331
United States,1976,65.989845
United States,1977,62.857143
United States,1978,53.207546
United States,1979,57.291668
United States,1980,58.60806
United States,1981,55.882355
United States,1982,65.789474
United States,1983,54.4586
United States,1984,61.11111
United States,1985,30.804598
United States,1986,27.318296
United States,1987,23.667377
United States,1988,20.79566
United States,1989,34.266888
United States,1990,42.91115
United States,1991,39.568344
United States,1992,41.317364
United States,1993,38.11563
United States,1994,37.568058
United States,1995,29.87887
United States,1996,25.595985
United States,1997,29.282578
United States,1998,12.970169
United States,1999,5.773672
United States,2000,5.5005503
United States,2001,0
United States,2002,0
United States,2003,0
United States,2004,0
United States,2005,0
United States,2006,0
United States,2007,0
United States,2008,0
United States,2009,0
United States,2010,0
United States,2011,0
United States,2012,2.8301888
United States,2013,5.140187
United States,2014,4.32
United States,2015,4.573643
United States,2016,0
United States,2017,0
United States,2018,7.368421
United States,2019,12.785388
United States,2020,16.25
United States,2021,14.4827585
United States,2022,14
United States,2023,12.285714
Vietnam,2020,0.29166666
Vietnam,2021,0.13793103
Vietnam,2022,0.4
Vietnam,2023,0.17142858
World,1900,100
World,1901,100
World,1902,100
World,1903,100
World,1904,100
World,1905,100
World,1906,100
World,1907,100
World,1908,100
World,1909,100
World,1910,100
World,1911,100
World,1912,100
World,1913,100
World,1914,100
World,1915,100
World,1916,100
World,1917,100
World,1918,100
World,1919,100
World,1920,100
World,1921,100
World,1922,100
World,1923,100
World,1924,100
World,1925,100
World,1926,100
World,1927,100
World,1928,100
World,1929,100
World,1930,100
World,1931,100
World,1932,100
World,1933,100
World,1934,100
World,1935,100
World,1936,100
World,1937,100
World,1938,100
World,1939,100
World,1940,100
World,1941,100
World,1942,100
World,1943,100
World,1944,100
World,1945,100
World,1946,100
World,1947,100
World,1948,100
World,1949,100
World,1950,100
World,1951,100
World,1952,100
World,1953,100
World,1954,100
World,1955,100
World,1956,100
World,1957,100
World,1958,100
World,1959,100
World,1960,100
World,1961,100
World,1962,100
World,1963,100
World,1964,100
World,1965,100
World,1966,100
World,1967,100
World,1968,100
World,1969,100
World,1970,100
World,1971,100
World,1972,100
World,1973,100
World,1974,100
World,1975,100
World,1976,100
World,1977,100
World,1978,100
World,1979,100
World,1980,100
World,1981,100
World,1982,100
World,1983,100
World,1984,100
World,1985,100
World,1986,100
World,1987,100
World,1988,100
World,1989,100
World,1990,100
World,1991,100
World,1992,100
World,1993,100
World,1994,100
World,1995,100
World,1996,100
World,1997,100
World,1998,100
World,1999,100
World,2000,100
World,2001,100
World,2002,100
World,2003,100
World,2004,100
World,2005,100
World,2006,100
World,2007,100
World,2008,100
World,2009,100
World,2010,100
World,2011,100
World,2012,100
World,2013,100
World,2014,100
World,2015,100
World,2016,100
World,2017,100
World,2018,100
World,2019,100
World,2020,100
World,2021,100
World,2022,100
World,2023,100